asset_tag,category_code,department,building,prior_failures_count,prior_work_orders_count,avg_repair_hours_so_far,life_used_percentage,failure_probability,risk_level,predicted_failure_30d
AST-IT-PC-00316,IT-PC,Computer Science Department,Engineering Building,11,16,19.61,124.33333333333331,0.7834,Critical Risk,1
AST-IT-PROJ-00285,IT-PROJ,Unknown,Administration Building,6,6,27.28,164.79166666666666,0.7478,Critical Risk,1
AST-IT-LAPTOP-00202,IT-LAPTOP,Artificial Intelligence Department,AI and Data Science Building,8,14,14.01,166.875,0.7426,Critical Risk,1
AST-IT-PC-00001,IT-PC,Electrical Engineering Department,Engineering Building,12,17,21.81,119.33333333333331,0.6915,Critical Risk,1
AST-IT-LAPTOP-00418,IT-LAPTOP,Computer Science Department,Engineering Building,10,16,16.31,83.95833333333333,0.6821,Critical Risk,1
AST-IT-PC-00099,IT-PC,Data Science Department,AI and Data Science Building,1,6,4.13,104.0,0.6619,Critical Risk,1
AST-IT-LAPTOP-00154,IT-LAPTOP,Computer Science Department,Engineering Building,9,15,14.91,130.0,0.5929,High Risk,1
AST-IT-PC-00243,IT-PC,Computer Science Department,Engineering Building,4,10,9.09,71.16666666666667,0.5757,High Risk,1
AST-LAB-OSC-00118,LAB-OSC,Computer Science Department,Engineering Building,0,3,1.59,68.08333333333334,0.5616,High Risk,1
AST-FURN-CHAIR-00255,FURN-CHAIR,Artificial Intelligence Department,AI and Data Science Building,0,0,2.08,97.26190476190476,0.5474,High Risk,1
AST-IT-PC-00292,IT-PC,Artificial Intelligence Department,AI and Data Science Building,5,10,13.76,110.0,0.5391,High Risk,1
AST-IT-PC-00096,IT-PC,Unknown,Administration Building,3,8,9.31,107.5,0.5034,High Risk,1
AST-IT-PC-00288,IT-PC,Artificial Intelligence Department,AI and Data Science Building,2,8,6.78,109.66666666666669,0.4966,High Risk,1
AST-LAB-OSC-00046,LAB-OSC,Computer Science Department,Engineering Building,3,6,17.04,41.333333333333336,0.4353,High Risk,1
AST-IT-PC-00049,IT-PC,Data Science Department,AI and Data Science Building,3,9,10.86,108.0,0.4241,High Risk,1
AST-IT-LAPTOP-00082,IT-LAPTOP,Computer Science Department,Engineering Building,4,10,8.17,77.08333333333334,0.4209,High Risk,1
AST-IT-PC-00291,IT-PC,Electrical Engineering Department,Engineering Building,1,7,3.31,52.5,0.408,High Risk,1
AST-IT-PROJ-00021,IT-PROJ,Electrical Engineering Department,Engineering Building,8,8,22.32,149.79166666666669,0.4077,High Risk,1
AST-FAC-AC-00233,FAC-AC,Unknown,Administration Building,4,16,9.99,83.02083333333333,0.3912,High Risk,1
AST-IT-PC-00241,IT-PC,Electrical Engineering Department,Engineering Building,1,7,3.29,105.5,0.3897,High Risk,1
AST-IT-PC-00149,IT-PC,Electrical Engineering Department,Engineering Building,2,7,4.04,92.16666666666666,0.3894,High Risk,1
AST-IT-PC-00409,IT-PC,Electrical Engineering Department,Engineering Building,2,7,12.86,54.16666666666666,0.3809,High Risk,1
AST-IT-PC-00052,IT-PC,Computer Science Department,Engineering Building,7,13,12.25,106.83333333333331,0.3749,High Risk,1
AST-IT-PROJ-00045,IT-PROJ,Unknown,Administration Building,7,7,23.66,131.875,0.3671,High Risk,1
AST-IT-PROJ-00381,IT-PROJ,Unknown,Administration Building,7,7,19.4,115.625,0.364,High Risk,1
AST-IT-PRINTER-00163,IT-PRINTER,Electrical Engineering Department,Engineering Building,3,12,7.25,93.83333333333331,0.3574,High Risk,1
AST-IT-PC-00124,IT-PC,Artificial Intelligence Department,AI and Data Science Building,6,12,20.92,109.0,0.3495,High Risk,1
AST-IT-PC-00002,IT-PC,Artificial Intelligence Department,AI and Data Science Building,2,8,10.35,111.5,0.3494,High Risk,1
AST-IT-PC-00240,IT-PC,Computer Science Department,Engineering Building,6,12,11.29,109.5,0.3492,High Risk,1
AST-IT-MONITOR-00201,IT-MONITOR,Data Science Department,AI and Data Science Building,1,4,1.48,88.33333333333333,0.3413,High Risk,1
AST-IT-PC-00217,IT-PC,Data Science Department,AI and Data Science Building,1,7,4.26,113.16666666666669,0.334,High Risk,1
AST-IT-PC-00005,IT-PC,Unknown,Administration Building,2,8,7.8,74.83333333333333,0.3331,High Risk,1
AST-FAC-AC-00017,FAC-AC,Electrical Engineering Department,Engineering Building,3,10,10.2,22.604166666666668,0.332,High Risk,1
AST-IT-MONITOR-00198,IT-MONITOR,Unknown,Administration Building,1,4,12.04,46.52777777777778,0.3314,High Risk,1
AST-IT-LAPTOP-00130,IT-LAPTOP,Artificial Intelligence Department,AI and Data Science Building,6,12,9.81,162.70833333333331,0.323,High Risk,1
AST-FURN-CHAIR-00278,FURN-CHAIR,Artificial Intelligence Department,AI and Data Science Building,2,2,31.54,48.69047619047619,0.3212,High Risk,1
AST-IT-PC-00120,IT-PC,Artificial Intelligence Department,AI and Data Science Building,4,10,8.02,90.66666666666666,0.3208,High Risk,1
AST-IT-PROJ-00309,IT-PROJ,Unknown,Administration Building,6,6,25.44,159.16666666666669,0.3187,High Risk,1
