asset_id,asset_type,age_days,days_since_last_pm,cumulative_downtime_hours,historical_work_order_count,vibration_rms,operating_temperature_c,power_consumption_kwh,ambient_humidity,thermal_vibration_index,pm_overdue_ratio,downtime_intensity,failed_within_30_days
AST-ELE-214,Elevator,132,190,0.0,0,5.49,85.2,35.3,47.2,3.119,2.111,0.0,1
AST-GEN-242,Generator,449,174,0.0,0,6.12,92.2,48.8,56.5,3.761,1.933,0.0,1
AST-IT -189,IT Server,2448,109,19.6,9,1.9,60.9,18.4,31.7,0.771,1.211,0.24,1
AST-HVA-323,HVAC,982,130,21.7,5,3.18,64.4,21.5,54.5,1.367,1.444,0.663,0
AST-IT -303,IT Server,2262,108,69.2,10,2.61,57.3,15.3,49.9,0.996,1.2,0.918,0
AST-IT -384,IT Server,56,195,6.5,1,4.17,54.8,20.8,52.4,1.526,2.167,3.482,0
AST-ELE-532,Elevator,1423,72,18.9,8,1.58,54.6,26.1,62.7,0.575,0.8,0.398,0
AST-WAT-444,Water Pump,448,24,19.4,2,2.12,64.9,36.9,61.2,0.917,0.267,1.299,0
AST-MED-967,Medical,1438,155,15.6,7,3.99,51.5,14.4,53.6,1.369,1.722,0.325,0
AST-HVA-847,HVAC,1911,138,74.9,10,4.78,81.8,25.9,68.8,2.606,1.533,1.176,1
AST-LAB-180,Lab Equipment,2291,76,2.0,13,1.44,51.9,13.6,50.2,0.499,0.844,0.026,0
AST-IT -982,IT Server,1511,148,95.6,6,4.15,73.7,20.4,53.8,2.04,1.644,1.898,1
AST-HVA-146,HVAC,963,198,9.3,6,6.19,74.2,22.2,54.1,3.059,2.2,0.29,1
AST-HVA-975,HVAC,983,222,17.6,4,5.67,91.5,32.9,29.9,3.456,2.467,0.537,1
AST-MED-564,Medical,1524,42,9.8,5,1.6,43.0,8.0,36.0,0.458,0.467,0.193,0
AST-GEN-786,Generator,1123,180,5.1,9,4.89,96.5,64.0,60.5,3.147,2.0,0.136,0
AST-ELE-173,Elevator,730,137,0.0,0,4.08,57.9,34.2,39.0,1.576,1.522,0.0,0
AST-GEN-573,Generator,1584,70,45.3,10,2.87,72.8,35.3,64.3,1.393,0.778,0.858,0
AST-ELE-804,Elevator,2311,57,150.1,11,4.07,70.9,25.1,52.8,1.922,0.633,1.949,1
AST-WAT-886,Water Pump,259,59,0.0,0,2.74,53.2,41.0,55.7,0.972,0.656,0.0,0
AST-WAT-423,Water Pump,1673,69,20.3,11,3.9,61.1,37.8,56.5,1.586,0.767,0.364,1
AST-IT -997,IT Server,1318,55,37.3,6,1.64,54.9,14.0,59.3,0.601,0.611,0.849,0
AST-LAB-758,Lab Equipment,1909,37,20.6,9,2.16,41.1,12.3,54.6,0.594,0.411,0.324,0
AST-GEN-862,Generator,2329,138,74.5,13,5.93,88.3,54.9,62.8,3.49,1.533,0.96,1
AST-IT -538,IT Server,2420,103,33.4,16,2.45,58.0,17.2,85.0,0.949,1.144,0.414,0
AST-GEN-621,Generator,2051,24,101.7,14,4.02,81.2,37.2,32.0,2.176,0.267,1.488,0
AST-WAT-212,Water Pump,656,161,7.5,2,3.19,76.8,35.9,51.0,1.633,1.789,0.343,0
AST-ELE-532,Elevator,2472,17,53.2,12,2.77,68.4,24.9,52.6,1.264,0.189,0.646,0
AST-IT -579,IT Server,2197,65,93.2,12,2.49,59.0,17.4,42.5,0.982,0.722,1.273,0
AST-WAT-111,Water Pump,499,175,0.3,2,4.41,88.5,37.5,46.2,2.6,1.944,0.018,0
AST-WAT-373,Water Pump,1423,29,93.6,11,4.16,73.7,27.6,49.3,2.044,0.322,1.973,1
AST-GEN-564,Generator,43,185,0.0,0,4.86,76.5,63.9,32.8,2.478,2.056,0.0,0
AST-MED-612,Medical,761,130,11.8,2,3.0,48.4,10.2,55.5,0.967,1.444,0.465,0
AST-WAT-740,Water Pump,1252,216,50.7,3,5.35,99.1,39.5,75.3,3.538,2.4,1.215,1
AST-IT -303,IT Server,656,96,3.8,6,1.22,49.0,17.5,44.4,0.398,1.067,0.174,0
AST-IT -897,IT Server,2202,236,71.6,10,6.84,85.8,29.0,57.6,3.911,2.622,0.975,1
AST-MED-600,Medical,109,29,0.0,0,1.36,40.7,8.0,51.4,0.368,0.322,0.0,0
AST-WAT-926,Water Pump,1289,62,25.5,11,2.83,68.9,30.7,42.6,1.298,0.689,0.593,0
AST-IT -180,IT Server,380,188,12.0,5,4.31,71.0,24.6,57.5,2.038,2.089,0.947,0
AST-HVA-878,HVAC,2211,197,2.1,6,4.44,90.4,29.9,59.6,2.675,2.189,0.028,1
AST-ELE-586,Elevator,2281,43,60.2,7,2.71,65.7,29.0,43.9,1.187,0.478,0.792,0
AST-WAT-721,Water Pump,1763,55,70.4,7,3.04,77.0,22.2,68.8,1.558,0.611,1.198,0
AST-WAT-847,Water Pump,853,183,11.4,3,5.85,73.0,42.2,68.4,2.845,2.033,0.401,1
AST-ELE-765,Elevator,1559,113,106.5,8,4.38,70.8,30.3,40.7,2.067,1.256,2.049,0
AST-LAB-223,Lab Equipment,1045,58,15.8,8,2.65,41.2,10.5,42.8,0.728,0.644,0.454,0
AST-HVA-702,HVAC,2298,59,63.1,12,1.97,63.9,23.9,61.6,0.84,0.656,0.824,0
AST-HVA-172,HVAC,271,59,0.0,0,2.33,62.9,24.3,48.4,0.975,0.656,0.0,0
AST-HVA-980,HVAC,1383,19,29.9,3,1.49,66.5,21.6,64.9,0.659,0.211,0.649,0
AST-MED-785,Medical,2018,55,3.5,10,1.82,43.5,9.8,53.7,0.527,0.611,0.052,0
AST-ELE-684,Elevator,2390,122,8.3,10,3.84,70.1,33.7,36.5,1.798,1.356,0.104,1
AST-LAB-926,Lab Equipment,1697,49,2.1,12,2.09,52.4,10.3,58.2,0.729,0.544,0.037,0
AST-ELE-541,Elevator,1481,109,13.8,4,2.96,67.5,35.9,50.9,1.333,1.211,0.28,0
AST-WAT-846,Water Pump,251,173,11.9,1,5.07,82.0,37.6,30.0,2.771,1.922,1.422,0
AST-ELE-200,Elevator,278,104,12.0,2,2.54,58.8,24.5,55.9,0.994,1.156,1.295,0
AST-WAT-982,Water Pump,477,64,5.1,4,1.86,55.1,25.1,47.7,0.684,0.711,0.321,0
AST-IT -559,IT Server,604,109,28.9,3,1.8,53.5,16.3,47.3,0.642,1.211,1.435,0
AST-LAB-355,Lab Equipment,338,114,2.8,2,2.04,36.2,11.3,66.4,0.492,1.267,0.249,0
AST-WAT-663,Water Pump,431,13,3.5,2,3.08,61.5,46.8,63.4,1.263,0.144,0.244,0
AST-IT -956,IT Server,90,24,0.0,0,0.61,46.4,13.3,32.9,0.187,0.267,0.0,0
AST-WAT-342,Water Pump,711,105,0.0,0,2.48,54.3,41.3,60.6,0.898,1.167,0.0,0
AST-GEN-985,Generator,1672,232,56.1,9,5.99,112.0,57.0,51.5,4.472,2.578,1.007,1
AST-LAB-102,Lab Equipment,1629,68,10.1,5,1.91,41.9,12.5,49.4,0.533,0.756,0.186,0
AST-WAT-565,Water Pump,1198,109,39.8,6,3.82,72.8,25.6,56.5,1.853,1.211,0.997,0
AST-ELE-902,Elevator,2306,170,37.5,16,5.66,60.6,32.7,46.3,2.288,1.889,0.488,1
AST-GEN-294,Generator,1245,56,14.8,6,2.24,78.1,52.5,59.3,1.166,0.622,0.357,0
AST-IT -853,IT Server,2250,16,41.4,13,2.1,51.4,15.8,42.8,0.721,0.178,0.552,0
AST-HVA-151,HVAC,2422,123,8.3,20,3.89,75.1,24.4,51.4,1.95,1.367,0.103,0
AST-WAT-643,Water Pump,674,15,30.3,3,3.17,77.2,36.2,46.1,1.629,0.167,1.349,0
AST-HVA-971,HVAC,791,18,41.3,5,1.5,56.8,21.2,59.9,0.569,0.2,1.566,0
AST-ELE-982,Elevator,993,104,66.4,7,3.82,79.5,29.9,53.0,2.028,1.156,2.006,1
AST-IT -352,IT Server,2401,153,15.4,9,3.97,66.0,19.5,59.9,1.744,1.7,0.192,1
AST-HVA-529,HVAC,2420,145,191.1,17,5.21,70.0,25.1,54.5,2.433,1.611,2.369,1
AST-MED-309,Medical,1316,62,114.8,8,2.11,55.2,8.8,49.3,0.777,0.689,2.617,0
AST-GEN-787,Generator,1258,118,49.4,4,4.0,86.0,50.6,52.7,2.292,1.311,1.178,1
AST-WAT-174,Water Pump,68,118,5.2,1,2.11,78.3,35.2,51.2,1.099,1.311,2.294,0
AST-IT -202,IT Server,330,138,50.3,2,3.45,62.2,17.7,48.4,1.43,1.533,4.573,0
AST-MED-235,Medical,1459,226,18.5,4,5.73,72.0,20.9,40.2,2.753,2.511,0.38,1
AST-GEN-478,Generator,1197,41,16.6,4,3.37,70.3,52.3,27.9,1.579,0.456,0.416,0
AST-IT -820,IT Server,1269,157,3.9,4,3.17,60.2,20.6,51.9,1.273,1.744,0.092,0
AST-WAT-769,Water Pump,2196,3,108.1,13,4.32,69.4,29.2,43.4,1.998,0.033,1.477,0
